,CODE,BRAND,ITEM,PACK,Price without VAT,PRICE WITH VAT,VAT Code,
1,TRS,SHAN,ACHAR GHOST ,50gr,0.71,0.75,5,
2,TRS,LAZIZA,ACHAR GHOST    ,100gr,1.24,1.30,5,
3,TRS,AGARBATTI,AGARBATTI ,25gr,0.48,0.50,5,
4,AE,AJINAMOTO,AJINAMOTO-MONOSODIUM GLUTAMATE,1kg,3.95,4.15,5,
5,,AJINAMOTO,AJINAMOTO-MONOSODIUM GLUTAMATE,200gr,0.95,1.00,5,
6,TRS,TRS,AJWAIN SEEDS,100gr,0.71,0.75,5,
7,LBN,SUPREME,AJWAIN SEEDS,100gr,0.71,0.75,5,
8,,HALDIRAM,ALL IN ONE,200gr,1.29,1.35,5,
9,PRAN,PRAN ,ALL TIME COOKIES COCONUT ,1kg,2.58,2.71,5,
10,PRAN,PRAN,ALL TIME COOKIES NORMAL,1kg,2.24,2.35,5,
11,PRAN,PRAN,ALL TIME COOKIES PEANUT ,1kg,2.58,2.71,5,
12,PRAN,PRAN,ALL TIME COOKIES VANILLA,1kg,2.58,2.71,5,
13,,KTC,ALMOND OIL    ,500ml,5.25,6.25,19,
14,TRS,KTC,ALMOND OIL    ,200ml,2.65,3.15,19,
15,TRS,OKF ,ALOE VERA DRINK,500ml,0.95,1.00,5,
16,,HALDIRAM,ALOO BHUJIA,200gr,1.29,1.35,5,
17,PRAN,PRAN,ALOO PARATHA,400gr,1.14,1.20,5,
18,PRAN,PRAN,ALOO PURI,454gr,1.34,1.41,5,
19,LBN,SUPREME,ALU BUKHARA (DRY PLUM),50gr,0.95,1.00,5,
20,,TRS,AMCHUR POWDER,100gr,0.95,1.00,5,
21,TRS,SUPREME,AMCHUR POWDER,100gr,0.95,1.00,5,
22,TRS,DABUR,AMLA HAIR OIL   ,100ml,1.76,2.09,19,
23,TRS,DABUR,AMLA HAIR OIL   ,200ml,2.99,3.56,19,
24,TRS,DABUR,AMLA HAIR OIL GOLD,200ml,2.99,3.56,19,
25,,SUPREME,ANARDANA WHOLE,100gr,0.95,1.00,5,
26,PRAN,PRAN,APPLE DRINKS (TETRA PACK) 1LTR,12pcs,8.55,8.98,5,
27,,AASHIRVVED,ATTA MEDIUM,1kg,1.33,1.40,5,
28,,AASHIRVVED,ATTA MEDIUM,2kg,2.48,2.60,5,
29,TRS,AASHIRVAAD,ATTA MEDIUM,5kg,5.75,6.04,5,
30,,AASHIRVAAD,ATTA MEDIUM,10kg,10.75,11.29,5,
31,,SUPREME,ATTA MEDIUM NO-2,10kg,5.95,6.25,5,
32,TRS,TRS,BAKING POWDER    ,100gr,0.48,0.50,5,
33,PRAN,AFROASE,BANANA CHIPES ,85gr,0.90,0.95,5,
34,,AFROASE,BANANA CHIPES  SWEET,85gr,0.90,0.95,5,
35,,PRAN,BASIL SEEDS,290ml,0.60,0.63,5,
36,PRAN,PRAN,BBQ CHANACHUR (LAMINATED PACK),150gr,0.71,0.75,5,
37,LBN,TRS,BESON - GRAM FLOUR,1kg,1.75,1.84,5,
38,,SUPREME,BESON - GRAM FLOUR,500gr,1.00,1.05,5,
39,TRS,SUPREME,BESON - GRAM FLOUR,1kg,1.57,1.65,5,
40,,SUPREME,BESON - GRAM FLOUR,2kg,2.52,2.65,5,
41,LBN,SUPREME,BIRIYANI MASALA WHOLE,100gr,1.38,1.45,5,
42,TRS,SHAN,BIRYANI  MASALA,50gr,0.71,0.75,5,
43,LBN,LAZIZA,BIRYANI MASALA   ,100gr,1.24,1.30,5,
44,,AFP,BITTER LEAVES,30gr,1.90,2.00,5,
45,LBN,SUPREME,BLACK CARDAMON,50gr,2.90,3.05,5,
46,,BLACK COCOS,BLACK COCOS,1kg,2.99,3.56,19,
47,,BLACK COCOS,BLACK COCOS   (WITH PAK),1kg,3.15,3.75,19,
48,,SUPREME,BLACK EYE BEANS,1kg,1.52,1.60,5,
49,,AFP,BLACK EYE BEANS,900gr,2.38,2.50,5,
50,LKR DE,AFP,BLACK EYE BEANS SPLIT,500gr,1.74,1.83,5,
51,TRS,TRS,BLACK PEPPER COARSE,100gr,1.43,1.50,5,
52,LBN,SUPREME,BLACK PEPPER COARSE  ,100gr,1.43,1.50,5,
53,LKR DE,WIJAYA,BLACK PEPPER POWDER,100gr,1.43,1.50,5,
54,TRS,TRS,BLACK PEPPER POWDER  ,100gr,1.43,1.50,5,
55,LBN,TRS,BLACK PEPPER POWDER  ,1kg,9.90,10.40,5,
56,RUHUNU,SUPREME,BLACK PEPPER POWDER  ,100gr,1.43,1.50,5,
57,TRS,SUPREME,BLACK PEPPER WHOLE  ,100gr,1.43,1.50,5,
58,LBN,TRS,BLACK PEPPER WHOLE   ,100gr,1.43,1.50,5,
59,,SUPREME,BLACK SALT POWDER,100gr,0.48,0.50,5,
60,,SHAN,BOMBAY BIRYANI,50gr,0.71,0.75,5,
61,LBN,MDH,BOMBAY BIRYANI,100gr,1.38,1.45,5,
62,,LAZIZA,BOMBAY BIRYANI   ,130gr,1.24,1.30,5,
63,TRS,HALDIRAM,BOMBAY MIX,200gr,1.29,1.35,5,
64,LBN,KCB,BOMBAY MIX    ,450gr,1.90,2.00,5,
65,LBN,HALDIRAM,BOONDI MASALA,200gr,1.29,1.35,5,
66,,HALDIRAM,BOONDI PLAIN,200gr,1.29,1.35,5,
67,,SUPREME,BROWN LENTILS,500gr,0.86,0.90,5,
